"ID","SALE.TYPE","SOLD.DATE","PROPERTY.TYPE","CITY","STATE","ZIP","BEDS","BATHS","LOCATION","SQUARE.FEET","LOT.SIZE","YEAR.BUILT","DAYS.ON.MARKET","X..SQUARE.FEET","HOA.MONTH","STATUS","NEXT.OPEN.HOUSE.START.TIME","NEXT.OPEN.HOUSE.END.TIME","SOURCE","FAVORITE","INTERESTED","LATITUDE","LONGITUDE","TARGET"
3692,"MLS Listing",NA,"Single Family Residential","Jacksonville","FL","32208",4,2,"Armstrong Riverview",1268,NA,1947,148,79,NA,"Active","","","NEFLMLS","N","Y","30.4"," -81.7","FALSE"
3693,"MLS Listing",NA,"Condo/Co-op","Miami","FL","33131",2,2.5,"Epic West Condo",1500,NA,2008,121,640,1527,"Active","","","MARMLS","N","Y","25.8"," -80.2","TRUE"
3694,"MLS Listing",NA,"Single Family Residential","Orlando","FL","32814",5,4.5,"Orlando",3511,7852,2004,111,216,58,"Active","","","MFRMLS","N","Y","28.6"," -81.3","TRUE"
3695,"MLS Listing",NA,"Single Family Residential","Atlanta","GA","30341",2,2,"Embry Hills",1742,17424,1958,29,172,NA,"Active","","","GAMLS","N","Y","33.9"," -84.3","FALSE"
3696,"MLS Listing",NA,"Single Family Residential","Raleigh","NC","27601",3,3,"Wake",1742,9583,1983,2,207,NA,"Active","March-10-2018 01:00 PM","March-10-2018 03:00 PM","TMLS","N","Y","35.8"," -78.6","TRUE"
3697,"MLS Listing",NA,"Vacant Land","Baltimore","MD","21210",NA,NA,"Poplar Hill",NA,9975,NA,328,NA,NA,"Active","","","MRIS","N","Y","39.4"," -76.6","FALSE"
3698,"MLS Listing",NA,"Townhouse","Baltimore","MD","21224",4,2.5,"Patterson Park",1358,871,1920,2,221,NA,"Active","March-11-2018 01:00 PM","March-11-2018 03:00 PM","MRIS","N","Y","39.3"," -76.6","FALSE"
3699,"MLS Listing",NA,"Single Family Residential","San Juan Capistrano","CA","92675",4,3.5,"OR - Ortega/Orange County",3106,9360,1990,128,370,215,"Active","","","CRMLS","N","Y","33.5","-117.6","TRUE"
3700,"MLS Listing",NA,"Condo/Co-op","Miami","FL","33132",3,4,"900 Biscayne Bay",2335,NA,2008,778,726,1583,"Active","","","MARMLS","N","Y","25.8"," -80.2","TRUE"
3701,"MLS Listing",NA,"Condo/Co-op","Atlanta","GA","30309",2,2.5,"Mayfair Renaissance",1383,NA,2002,82,296,623,"Active","","","GAMLS","N","Y","33.8"," -84.4","TRUE"
3702,"MLS Listing",NA,"Single Family Residential","Atlanta","GA","30342-4330",5,4.5,"Buckhead",4837,23827,1997,219,258,NA,"Active","","","GAMLS","N","Y","33.9"," -84.4","TRUE"
3703,"MLS Listing",NA,"Condo/Co-op","Miami","FL","33131",1,1.5,"Echo Brickell",899,NA,2017,47,1111,846,"Active","","","MARMLS","N","Y","25.8"," -80.2","TRUE"
3704,"MLS Listing",NA,"Condo/Co-op","Miami","FL","33193",3,2,"",994,NA,1986,198,178,345,"Active","","","MARMLS","N","Y","25.7"," -80.4","FALSE"
3705,"MLS Listing",NA,"Vacant Land","Jacksonville","FL","32220",NA,NA,"Marietta",NA,NA,NA,47,NA,NA,"Active","","","NEFLMLS","N","Y","30.4"," -81.8","FALSE"
3706,"MLS Listing",NA,"Single Family Residential","Miami","FL","33147",4,2,"Orange Ridge",1040,6925,1948,23,231,NA,"Active","","","MARMLS","N","Y","25.8"," -80.2","FALSE"
3707,"MLS Listing",NA,"Condo/Co-op","Miami","FL","33131",2,2,"Centro Condo",791,NA,2016,57,411,559,"Active","","","MARMLS","N","Y","25.8"," -80.2","TRUE"
3708,"MLS Listing",NA,"Single Family Residential","Atlanta","GA","30305",5,5.5,"Peachtree Park",NA,14035,2018,27,NA,NA,"Active","","","FMLS","N","Y","33.8"," -84.4","TRUE"
3709,"MLS Listing",NA,"Vacant Land","Miami","FL","33196",NA,NA,"",NA,211222,NA,118,NA,NA,"Active","","","MARMLS","N","Y","25.8"," -80.4","TRUE"
3710,"MLS Listing",NA,"Condo/Co-op","Garden Grove","CA","92840",3,2,"72 - Orange & Garden Grove, E of Harbor, N of 22 F",1295,NA,2007,116,355,420,"Active","","","CRMLS","N","Y","33.8","-117.9","TRUE"
3711,"MLS Listing",NA,"Single Family Residential","Richmond","VA","23234",3,1,"Summer Hill Plaza",912,15999,1963,43,154,NA,"Active",NA,NA,"CVRMLS","N","Y","37.5"," -77.4","FALSE"
3712,"MLS Listing",NA,"Single Family Residential","Atlanta","GA","30318",5,3.5,"Westside Station",2754,2613,2017,338,183,104,"Active","","","GAMLS","N","Y","33.8"," -84.5","TRUE"
3713,"MLS Listing",NA,"Single Family Residential","Miami","FL","33177",3,2,"New So Miami Heights",1140,4837,1975,13,263,NA,"Active","","","MARMLS","N","Y","25.6"," -80.4","FALSE"
3714,"MLS Listing",NA,"Mobile/Manufactured Home","San Juan Capistrano","CA","92675",4,2.75,"DO - Del Obispo",1600,3500,1991,18,250,215,"Active","","","CRMLS","N","Y","33.5","-117.7","TRUE"
3715,"MLS Listing",NA,"Vacant Land","Orlando","FL","32833",0,NA,"Orlando",NA,66211,NA,260,NA,4,"Active","","","MFRMLS","N","Y","28.5"," -81.1","FALSE"
3716,"MLS Listing",NA,"Condo/Co-op","Jacksonville","FL","32250",2,2.5,"Moorings",1560,NA,1974,30,186,NA,"Active","","","NEFLMLS","N","Y","30.3"," -81.4","FALSE"
3717,"MLS Listing",NA,"Condo/Co-op","Richmond","VA","23226",3,2.5,"Near West End",1720,1698,2007,113,287,536,"Active",NA,NA,"CVRMLS","N","Y","37.6"," -77.5","TRUE"
3718,"MLS Listing",NA,"Single Family Residential","Santa Ana","CA","92704",3,2.5,"699 - Not Defined",1660,7050,1957,189,380,NA,"Active","","","CRMLS","N","Y","33.7","-117.9","TRUE"
3719,"MLS Listing",NA,"Single Family Residential","Dana Point","CA","92629",2,2,"MB - Monarch Beach",1301,4050,1972,30,1149,280,"Active","","","CRMLS","N","Y","33.5","-117.7","TRUE"
3720,"MLS Listing",NA,"Single Family Residential","Atlanta","GA","30331",6,6.5,"",8193,NA,2010,12,49,NA,"Active","","","GAMLS","N","Y","33.7"," -84.4","TRUE"
3721,"MLS Listing",NA,"Single Family Residential","Raleigh","NC","27601",4,4,"Thompson Hunter",2000,6098,2017,127,238,NA,"Active","","","TMLS","N","Y","35.8"," -78.6","TRUE"
3722,"MLS Listing",NA,"Single Family Residential","Miami","FL","33177",3,2,"Limewood Grove",1799,7501,1992,59,195,NA,"Active","","","MARMLS","N","Y","25.6"," -80.4","TRUE"
3723,"MLS Listing",NA,"Condo/Co-op","Atlanta","GA","30306",1,1,"Briarcliff Place",NA,NA,1930,221,NA,NA,"Active","","","FMLS","N","Y","33.8"," -84.4","FALSE"
3724,"MLS Listing",NA,"Single Family Residential","Laguna Beach","CA","92651",3,2.5,"LC - Laguna Canyon",1300,2800,1985,40,673,142,"Active","","","CRMLS","N","Y","33.6","-117.8","TRUE"
